N,k,v,w,t,Scattering Count,Trials
10,30,2,1,2,0,1000
11,30,2,1,2,0,1000
12,30,2,1,2,0,1000
13,30,2,1,2,0,1000
14,30,2,1,2,0,1000
15,30,2,1,2,0,1000
16,30,2,1,2,0,1000
17,30,2,1,2,0,1000
18,30,2,1,2,0,1000
19,30,2,1,2,0,1000
20,30,2,1,2,0,1000
21,30,2,1,2,0,1000
22,30,2,1,2,0,1000
23,30,2,1,2,0,1000
24,30,2,1,2,0,1000
25,30,2,1,2,0,1000
26,30,2,1,2,0,1000
27,30,2,1,2,0,1000
28,30,2,1,2,0,1000
29,30,2,1,2,0,1000
2,32,2,1,2,19,1000
3,32,2,1,2,2,1000
4,32,2,1,2,0,1000
5,32,2,1,2,0,1000
6,32,2,1,2,0,1000
7,32,2,1,2,0,1000
8,32,2,1,2,0,1000
9,32,2,1,2,0,1000
10,32,2,1,2,0,1000
11,32,2,1,2,0,1000
12,32,2,1,2,0,1000
13,32,2,1,2,0,1000
14,32,2,1,2,0,1000
15,32,2,1,2,0,1000
16,32,2,1,2,0,1000
17,32,2,1,2,0,1000
18,32,2,1,2,0,1000
19,32,2,1,2,0,1000
20,32,2,1,2,0,1000
21,32,2,1,2,0,1000
22,32,2,1,2,0,1000
23,32,2,1,2,0,1000
24,32,2,1,2,0,1000
25,32,2,1,2,0,1000
26,32,2,1,2,0,1000
27,32,2,1,2,0,1000
28,32,2,1,2,0,1000
29,32,2,1,2,0,1000
2,34,2,1,2,14,1000
3,34,2,1,2,4,1000
4,34,2,1,2,0,1000
5,34,2,1,2,0,1000
6,34,2,1,2,0,1000
7,34,2,1,2,0,1000
8,34,2,1,2,0,1000
9,34,2,1,2,0,1000
10,34,2,1,2,0,1000
11,34,2,1,2,0,1000
12,34,2,1,2,0,1000
13,34,2,1,2,0,1000
14,34,2,1,2,0,1000
15,34,2,1,2,0,1000
16,34,2,1,2,0,1000
17,34,2,1,2,0,1000
18,34,2,1,2,0,1000
19,34,2,1,2,0,1000
20,34,2,1,2,0,1000
21,34,2,1,2,0,1000
22,34,2,1,2,0,1000
23,34,2,1,2,0,1000
24,34,2,1,2,0,1000
25,34,2,1,2,0,1000
26,34,2,1,2,0,1000
27,34,2,1,2,0,1000
28,34,2,1,2,0,1000
29,34,2,1,2,0,1000
2,36,2,1,2,23,1000
3,36,2,1,2,2,1000
4,36,2,1,2,0,1000
5,36,2,1,2,0,1000
6,36,2,1,2,0,1000
7,36,2,1,2,0,1000
8,36,2,1,2,0,1000
9,36,2,1,2,0,1000
10,36,2,1,2,0,1000
11,36,2,1,2,0,1000
12,36,2,1,2,0,1000
13,36,2,1,2,0,1000
14,36,2,1,2,0,1000
15,36,2,1,2,0,1000
16,36,2,1,2,0,1000
17,36,2,1,2,0,1000
18,36,2,1,2,0,1000
19,36,2,1,2,0,1000
20,36,2,1,2,0,1000
21,36,2,1,2,0,1000
22,36,2,1,2,0,1000
23,36,2,1,2,0,1000
24,36,2,1,2,0,1000
25,36,2,1,2,0,1000
26,36,2,1,2,0,1000
27,36,2,1,2,0,1000
28,36,2,1,2,0,1000
29,36,2,1,2,0,1000
2,38,2,1,2,24,1000
3,38,2,1,2,2,1000
4,38,2,1,2,0,1000
5,38,2,1,2,0,1000
6,38,2,1,2,0,1000
7,38,2,1,2,0,1000
8,38,2,1,2,0,1000
9,38,2,1,2,0,1000
10,38,2,1,2,0,1000
11,38,2,1,2,0,1000
12,38,2,1,2,0,1000
13,38,2,1,2,0,1000
14,38,2,1,2,0,1000
15,38,2,1,2,0,1000
16,38,2,1,2,0,1000
17,38,2,1,2,0,1000
18,38,2,1,2,0,1000
19,38,2,1,2,0,1000
20,38,2,1,2,0,1000
21,38,2,1,2,0,1000
22,38,2,1,2,0,1000
23,38,2,1,2,0,1000
24,38,2,1,2,0,1000
25,38,2,1,2,0,1000
26,38,2,1,2,0,1000
27,38,2,1,2,0,1000
28,38,2,1,2,0,1000
29,38,2,1,2,0,1000
